user_id,movie_id,rating,rating_normalized
196,242,3,0.5
186,302,3,0.5
22,377,1,0.0
244,51,2,0.25
166,346,1,0.0
298,474,4,0.75
115,265,2,0.25
253,465,5,1.0
305,451,3,0.5
6,86,3,0.5
62,257,2,0.25
286,1014,5,1.0
200,222,5,1.0
210,40,3,0.5
224,29,3,0.5
122,387,5,1.0
194,274,2,0.25
291,1042,4,0.75
119,392,4,0.75
167,486,4,0.75
299,144,4,0.75
291,118,2,0.25
308,1,4,0.75
95,546,2,0.25
38,95,5,1.0
102,768,2,0.25
63,277,4,0.75
160,234,5,1.0
50,246,3,0.5
301,98,4,0.75
225,193,4,0.75
290,88,4,0.75
97,194,3,0.5
157,274,4,0.75
181,1081,1,0.0
278,603,5,1.0
7,32,4,0.75
10,16,4,0.75
284,304,4,0.75
201,979,2,0.25
287,327,5,1.0
246,201,5,1.0
242,1137,5,1.0
249,241,5,1.0
99,4,5,1.0
178,332,3,0.5
251,100,4,0.75
81,432,2,0.25
260,322,4,0.75
25,181,5,1.0
59,196,5,1.0
72,679,2,0.25
87,384,4,0.75
290,143,5,1.0
42,423,5,1.0
292,515,4,0.75
115,20,3,0.5
20,288,1,0.0
201,219,4,0.75
246,919,4,0.75
138,26,5,1.0
167,232,1,0.0
60,427,5,1.0
57,304,5,1.0
223,274,4,0.75
189,512,4,0.75
243,15,3,0.5
92,1049,1,0.0
246,416,3,0.5
194,165,4,0.75
241,690,2,0.25
178,248,4,0.75
254,1444,3,0.5
293,5,3,0.5
127,229,5,1.0
225,237,5,1.0
299,229,3,0.5
225,480,5,1.0
291,144,5,1.0
222,366,4,0.75
267,518,5,1.0
42,403,3,0.5
11,111,4,0.75
95,625,4,0.75
8,338,4,0.75
162,25,4,0.75
87,1016,4,0.75
279,154,5,1.0
145,275,2,0.25
119,1153,5,1.0
62,498,4,0.75
62,382,3,0.5
28,209,4,0.75
135,23,4,0.75
32,294,3,0.5
90,382,5,1.0
286,208,4,0.75
293,685,3,0.5
216,144,4,0.75
166,328,5,1.0
250,496,4,0.75
271,132,5,1.0
160,174,5,1.0
265,118,4,0.75
198,498,3,0.5
42,96,5,1.0
168,151,5,1.0
110,307,4,0.75
58,144,4,0.75
90,648,4,0.75
271,346,4,0.75
62,21,3,0.5
279,832,3,0.5
237,514,4,0.75
94,789,4,0.75
128,485,3,0.5
298,317,4,0.75
44,195,5,1.0
264,200,5,1.0
194,385,2,0.25
72,195,5,1.0
222,750,5,1.0
250,264,3,0.5
41,265,3,0.5
224,245,3,0.5
82,135,3,0.5
262,1147,4,0.75
293,471,3,0.5
216,658,3,0.5
250,140,3,0.5
59,23,5,1.0
286,379,5,1.0
244,815,4,0.75
7,479,4,0.75
174,368,1,0.0
87,274,4,0.75
194,1211,2,0.25
82,1134,2,0.25
244,756,2,0.25
305,427,5,1.0
95,787,2,0.25
43,14,2,0.25
299,955,4,0.75
57,419,3,0.5
84,405,3,0.5
269,504,4,0.75
299,111,3,0.5
194,466,4,0.75
160,135,4,0.75
99,268,3,0.5
10,486,4,0.75
259,117,4,0.75
85,427,3,0.5
213,273,5,1.0
121,514,3,0.5
90,98,5,1.0
49,559,2,0.25
42,794,3,0.5
155,323,2,0.25
68,117,4,0.75
172,177,4,0.75
19,4,4,0.75
268,231,4,0.75
5,2,3,0.5
305,117,2,0.25
44,294,4,0.75
43,137,4,0.75
279,1336,1,0.0
80,466,5,1.0
254,164,4,0.75
298,281,3,0.5
279,1240,1,0.0
66,298,4,0.75
18,443,3,0.5
268,1035,2,0.25
99,79,4,0.75
26,258,3,0.5
7,455,4,0.75
222,755,4,0.75
200,673,5,1.0
119,328,4,0.75
213,172,5,1.0
94,1217,3,0.5
130,379,4,0.75
38,328,4,0.75
160,719,3,0.5
293,1267,3,0.5
26,930,2,0.25
130,216,4,0.75
92,1079,3,0.5
256,452,4,0.75
1,61,4,0.75
72,48,4,0.75
56,755,3,0.5
15,405,2,0.25
92,77,3,0.5
207,476,2,0.25
292,174,5,1.0
232,483,5,1.0
251,748,2,0.25
224,26,3,0.5
181,220,4,0.75
259,255,4,0.75
305,471,4,0.75
52,280,3,0.5
161,202,5,1.0
148,408,5,1.0
125,235,2,0.25
97,228,5,1.0
58,1098,4,0.75
83,234,4,0.75
90,347,4,0.75
272,178,5,1.0
194,181,3,0.5
125,478,4,0.75
110,688,1,0.0
299,14,4,0.75
151,10,5,1.0
269,127,4,0.75
6,14,5,1.0
54,106,3,0.5
16,944,1,0.0
301,790,4,0.75
305,214,2,0.25
194,1028,2,0.25
91,323,2,0.25
87,554,4,0.75
294,109,4,0.75
286,171,4,0.75
200,318,5,1.0
229,328,1,0.0
178,568,4,0.75
62,65,4,0.75
207,591,3,0.5
92,172,4,0.75
301,401,4,0.75
36,339,5,1.0
70,746,3,0.5
63,242,3,0.5
28,201,3,0.5
279,68,4,0.75
250,7,4,0.75
14,98,3,0.5
299,1018,3,0.5
194,54,3,0.5
119,237,5,1.0
295,218,5,1.0
268,930,2,0.25
268,2,2,0.25
66,258,4,0.75
233,202,5,1.0
83,623,4,0.75
214,334,3,0.5
192,476,2,0.25
100,344,4,0.75
268,145,1,0.0
301,56,4,0.75
307,89,5,1.0
83,576,4,0.75
181,264,2,0.25
297,133,4,0.75
38,153,5,1.0
7,382,4,0.75
264,813,4,0.75
181,872,1,0.0
201,146,1,0.0
85,507,4,0.75
269,367,3,0.5
59,468,3,0.5
286,143,4,0.75
193,96,1,0.0
113,595,5,1.0
292,11,5,1.0
130,1014,3,0.5
275,98,4,0.75
189,520,5,1.0
219,82,1,0.0
218,209,5,1.0
123,427,3,0.5
119,222,5,1.0
158,177,4,0.75
222,118,4,0.75
302,322,2,0.25
279,501,3,0.5
301,79,5,1.0
181,3,2,0.25
201,695,1,0.0
1,189,3,0.5
145,237,5,1.0
23,385,4,0.75
201,767,4,0.75
296,705,5,1.0
42,546,3,0.5
33,872,3,0.5
301,554,3,0.5
16,64,5,1.0
95,135,3,0.5
154,357,4,0.75
77,484,5,1.0
296,508,5,1.0
302,303,2,0.25
244,673,3,0.5
222,77,4,0.75
16,705,5,1.0
270,452,4,0.75
145,15,2,0.25
187,64,5,1.0
200,304,5,1.0
170,749,5,1.0
101,829,3,0.5
184,218,3,0.5
128,204,4,0.75
181,1295,1,0.0
184,153,3,0.5
1,33,4,0.75
